WKT,link_id,source,target,direction
"LINESTRING (2.53901294 48.6419233,2.53944764 48.64157417,2.53963506 48.64140669,2.53966378 48.64138252,2.53980187 48.64126791,2.5398443 48.6412276)",troncon_de_route.TRONROUT0000000003409267,"3338","3339","0"
"LINESTRING (2.54891649 48.63697615,2.54880486 48.63701531,2.54873134 48.63704201,2.54862512 48.63708389,2.54854619 48.63710877,2.54850813 48.63711493,2.54847011 48.63711748,2.54843483 48.63711645,2.54839145 48.63711089,2.54835215 48.63710444,2.54823059 48.63703562,2.54798213 48.63688985)",troncon_de_route.TRONROUT0000000012888407,"1505","3688","-1"
"LINESTRING (2.54699587 48.63668552,2.54712312 48.63672288,2.54716507 48.63673653,2.54719474 48.63675823,2.54727014 48.63682868,2.5474251 48.636957,2.54750734 48.63702028,2.54754516 48.63704201,2.54758034 48.63705384,2.54761558 48.63705937,2.54765089 48.6370568,2.54769176 48.63703897,2.54798213 48.63688985)",troncon_de_route.TRONROUT0000000012888408,"3689","3688","0"
"LINESTRING (2.54798213 48.63688985,2.5478093 48.63678665,2.54774319 48.63674143,2.54770563 48.63669001,2.54769389 48.636636,2.54769711 48.63657754,2.54772054 48.63653535,2.5477766 48.63648789,2.54785291 48.6364513,2.54793049 48.63642641,2.54810321 48.63638479)",troncon_de_route.TRONROUT0000000012888409,"3688","1565","-1"
"LINESTRING (2.54798213 48.63688985,2.54805294 48.63686224,2.54815785 48.63681586,2.5482532 48.63677485,2.54836349 48.63673389,2.54851594 48.63668139)",troncon_de_route.TRONROUT0000000012888410,"3688","1555","0"
"LINESTRING (2.54810321 48.63638479,2.54851594 48.63668139)",troncon_de_route.TRONROUT0000000012888411,"1565","1555","0"
"LINESTRING (2.54946068 48.63682349,2.54922636 48.63645291)",troncon_de_route.TRONROUT0000000012888412,"1516","1531","1"
"LINESTRING (2.54851594 48.63668139,2.54922636 48.63645291)",troncon_de_route.TRONROUT0000000012888413,"1555","1531","0"
"LINESTRING (2.54902016 48.63612741,2.54989237 48.63586445,2.55004321 48.63584163,2.55018553 48.63586286,2.55029503 48.63591185,2.55036354 48.63599486,2.55036035 48.63620803)",troncon_de_route.TRONROUT0000000012888414,"1532","1517","1"
"LINESTRING (2.54762014 48.63606093,2.54810321 48.63638479)",troncon_de_route.TRONROUT0000000012888418,"1568","1565","0"
"LINESTRING (2.55083131 48.63620531,2.55093978 48.63621741,2.55117974 48.6362471,2.55128279 48.63625828)",troncon_de_route.TRONROUT0000000012888419,"3690","3691","0"
"LINESTRING (2.55095609 48.63605646,2.5509763 48.63607363,2.55105321 48.63612609,2.55114502 48.63618131,2.55123552 48.63623112,2.55128279 48.63625828)",troncon_de_route.TRONROUT0000000012888420,"3692","3691","0"
"LINESTRING (2.55128279 48.63625828,2.55137636 48.63626763,2.55158518 48.63628821,2.55161095 48.6362901)",troncon_de_route.TRONROUT0000000012888422,"3691","1508","0"
"LINESTRING (2.55128279 48.63625828,2.5513597 48.63631075,2.55140686 48.6363505,2.55143638 48.63639019,2.55146716 48.63644068,2.55149116 48.63649024)",troncon_de_route.TRONROUT0000000012888423,"3691","1507","0"
"LINESTRING (2.55107177 48.63744304,2.55195055 48.63720618)",troncon_de_route.TRONROUT0000000012888425,"1534","3695","1"
"LINESTRING (2.54695614 48.63672764,2.54699587 48.63668552)",troncon_de_route.TRONROUT0000000039833931,"1573","3689","0"
"LINESTRING (2.54699587 48.63668552,2.54702215 48.63662805,2.54702559 48.63654441,2.54700299 48.63649035,2.54698037 48.63643809,2.54697768 48.63643539,2.54692932 48.63637673,2.54689981 48.63633704)",troncon_de_route.TRONROUT0000000039833937,"3689","1579","0"
"LINESTRING (2.55237058 48.64284045,2.55134152 48.64286357)",troncon_de_route.TRONROUT0000000039834665,"3768","1368","1"
